id,title,album,views,videos,tt_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,duration_mins
61dYvvfIRtIDFuqZypPAta,"Cello Suite No. 1, Prelude - Bach",Rebecca Roudman - Eclectic Cello,16500000,3,6.873519314381588e+18,63.0,0.257,0.109,7.0,-21.356,1.0,0.0597,0.9,0.867,0.0762,0.307,75.02,audio_features,spotify:track:61dYvvfIRtIDFuqZypPAta,https://api.spotify.com/v1/tracks/61dYvvfIRtIDFuqZypPAta,https://api.spotify.com/v1/audio-analysis/61dYvvfIRtIDFuqZypPAta,151480.0,4.0,2.5246666666666666
7s3Mn54ieRrEvXSRQBtcEk,White Christmas,Christmas-1210,99000,1,2.1218015908746445e+17,0.0,0.439,0.448,5.0,-8.447,1.0,0.0303,0.152,0.0,0.21,0.163,108.184,audio_features,spotify:track:7s3Mn54ieRrEvXSRQBtcEk,https://api.spotify.com/v1/tracks/7s3Mn54ieRrEvXSRQBtcEk,https://api.spotify.com/v1/audio-analysis/7s3Mn54ieRrEvXSRQBtcEk,126514.0,3.0,2.1085666666666665
2kEpTSnECJiQpmcPLKK8Aq,ily (i love you baby) - 2020 Remix,ily (i love you baby) - 2020 Remix,61400,2,6.8242125669406e+18,19.0,0.722,0.438,1.0,-11.517,0.0,0.0617,0.284,0.000171,0.121,0.2,119.833,audio_features,spotify:track:2kEpTSnECJiQpmcPLKK8Aq,https://api.spotify.com/v1/tracks/2kEpTSnECJiQpmcPLKK8Aq,https://api.spotify.com/v1/audio-analysis/2kEpTSnECJiQpmcPLKK8Aq,163562.0,4.0,2.7260333333333335
2Ch7LmS7r2Gy2kc64wv3Bz,Die For You,Starboy,328200,1,6.928589404693629e+18,81.0,0.582,0.525,1.0,-7.163,0.0,0.0627,0.111,0.0,0.134,0.51,133.249,audio_features,spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,https://api.spotify.com/v1/tracks/2Ch7LmS7r2Gy2kc64wv3Bz,https://api.spotify.com/v1/audio-analysis/2Ch7LmS7r2Gy2kc64wv3Bz,260253.0,4.0,4.33755
4MOUAKzdy6wa2AJHuuxIi8,Summer Rain,Summer Rain,2300000,1,7.007712888929159e+18,67.0,0.705,0.727,8.0,-4.524,0.0,0.0386,0.0341,1.03e-05,0.428,0.762,120.031,audio_features,spotify:track:4MOUAKzdy6wa2AJHuuxIi8,https://api.spotify.com/v1/tracks/4MOUAKzdy6wa2AJHuuxIi8,https://api.spotify.com/v1/audio-analysis/4MOUAKzdy6wa2AJHuuxIi8,200133.0,4.0,3.33555
4Bzk7J25lxphfdBsrobezz,Renaissance,Close Your Eyes,32300,1,6.857607704232331e+18,48.0,0.634,0.475,0.0,-12.957,0.0,0.0541,0.233,0.0,0.111,0.579,125.362,audio_features,spotify:track:4Bzk7J25lxphfdBsrobezz,https://api.spotify.com/v1/tracks/4Bzk7J25lxphfdBsrobezz,https://api.spotify.com/v1/audio-analysis/4Bzk7J25lxphfdBsrobezz,166370.0,4.0,2.7728333333333333
5nhbm4VY0kt3dDlfD7DXdv,6IX5PEED,6IX5PEED,1200000,3,6.963765205054523e+18,40.0,0.736,0.891,6.0,-5.16,0.0,0.0474,0.0754,0.848,0.102,0.864,155.03,audio_features,spotify:track:5nhbm4VY0kt3dDlfD7DXdv,https://api.spotify.com/v1/tracks/5nhbm4VY0kt3dDlfD7DXdv,https://api.spotify.com/v1/audio-analysis/5nhbm4VY0kt3dDlfD7DXdv,218323.0,4.0,3.638716666666667
4bCqgwKyHKEkvy5WlZ8hES,like blood,the highs.,61700,1,6.979231119648492e+18,52.0,0.701,0.384,8.0,-7.505,1.0,0.16,0.336,0.000112,0.114,0.556,84.951,audio_features,spotify:track:4bCqgwKyHKEkvy5WlZ8hES,https://api.spotify.com/v1/tracks/4bCqgwKyHKEkvy5WlZ8hES,https://api.spotify.com/v1/audio-analysis/4bCqgwKyHKEkvy5WlZ8hES,189176.0,4.0,3.1529333333333334
4c4y326KbfGntIfWn0y2cz,Valle Nga Nino,Zgjate Doren,76100,1,6.789965375564941e+18,0.0,0.422,0.898,0.0,-0.772,0.0,0.0555,0.795,1.27e-05,0.164,0.943,122.691,audio_features,spotify:track:4c4y326KbfGntIfWn0y2cz,https://api.spotify.com/v1/tracks/4c4y326KbfGntIfWn0y2cz,https://api.spotify.com/v1/audio-analysis/4c4y326KbfGntIfWn0y2cz,1254072.0,4.0,20.9012
1J03Vp93ybKIxfzYI4YJtL,MEGALOVANIA,UNDERTALE Soundtrack,3500000,3,6.728081930127935e+18,69.0,0.719,0.632,7.0,-9.849,1.0,0.0602,0.000377,0.855,0.0362,0.934,119.987,audio_features,spotify:track:1J03Vp93ybKIxfzYI4YJtL,https://api.spotify.com/v1/tracks/1J03Vp93ybKIxfzYI4YJtL,https://api.spotify.com/v1/audio-analysis/1J03Vp93ybKIxfzYI4YJtL,156000.0,4.0,2.6
