id,title,album,views,videos,tt_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
1MX19fnaW1OUQoglWTYaOo,Danger,Dark & Wild,17800000,33,7010441327695383301,70,0.635,0.772,7,-4.825,1,0.0279,0.216,0,0.285,0.948,119.017,audio_features,spotify:track:1MX19fnaW1OUQoglWTYaOo,https://api.spotify.com/v1/tracks/1MX19fnaW1OUQoglWTYaOo,https://api.spotify.com/v1/audio-analysis/1MX19fnaW1OUQoglWTYaOo,147893,4
4uv0VpJDLRC3XaAgJKdQcG,LOVELY (Remix),世间安得双全法,889000,3,6870895240446740488,50,0.473,0.481,5,-8.957,0,0.0473,0.409,7.78e-06,0.11,0.209,132.008,audio_features,spotify:track:4uv0VpJDLRC3XaAgJKdQcG,https://api.spotify.com/v1/tracks/4uv0VpJDLRC3XaAgJKdQcG,https://api.spotify.com/v1/audio-analysis/4uv0VpJDLRC3XaAgJKdQcG,199459,4
4fPjI40ElIwJQ4DJJxSCOe,Attracted To You,Attracted To You,663500,1,6926074232364926977,73,0.727,0.58,6,-11.094,1,0.192,0.0372,0.00377,0.0596,0.75,114.21,audio_features,spotify:track:4fPjI40ElIwJQ4DJJxSCOe,https://api.spotify.com/v1/tracks/4fPjI40ElIwJQ4DJJxSCOe,https://api.spotify.com/v1/audio-analysis/4fPjI40ElIwJQ4DJJxSCOe,67638,4
4rHhkKyZ0DV97uAmIwQdVU,"Woof, Pt. 1",I Love U,509700,2,6779350392628054017,45,0.614,0.487,5,-10.316,0,0.174,0.586,0.0411,0.336,0.917,153.886,audio_features,spotify:track:4rHhkKyZ0DV97uAmIwQdVU,https://api.spotify.com/v1/tracks/4rHhkKyZ0DV97uAmIwQdVU,https://api.spotify.com/v1/audio-analysis/4rHhkKyZ0DV97uAmIwQdVU,84156,4
2iTtYbVpiG5MlRPewOfPkQ,Проводи до дома,Проводи до дома,161200,2,7015573218371045378,1,0.653,0.633,0,-6.522,1,0.104,0.0108,0,0.341,0.226,159.869,audio_features,spotify:track:2iTtYbVpiG5MlRPewOfPkQ,https://api.spotify.com/v1/tracks/2iTtYbVpiG5MlRPewOfPkQ,https://api.spotify.com/v1/audio-analysis/2iTtYbVpiG5MlRPewOfPkQ,126000,4
1L94M3KIu7QluZe63g64rv,Alive,Alive,772500,1,6882702567084656642,76,0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009,audio_features,spotify:track:1L94M3KIu7QluZe63g64rv,https://api.spotify.com/v1/tracks/1L94M3KIu7QluZe63g64rv,https://api.spotify.com/v1/audio-analysis/1L94M3KIu7QluZe63g64rv,340907,4
1vrd6UOGamcKNGnSHJQlSt,Love Story,Love Story,63500000,4,6842883579551255302,69,0.618,0.741,2,-3.95,1,0.031,0.17,0,0.0822,0.296,118.984,audio_features,spotify:track:1vrd6UOGamcKNGnSHJQlSt,https://api.spotify.com/v1/tracks/1vrd6UOGamcKNGnSHJQlSt,https://api.spotify.com/v1/audio-analysis/1vrd6UOGamcKNGnSHJQlSt,235267,4
4nSybn5bFsnCR1qWqB8gRx,Payphone (Cover),BEST BUZZ HITS -SNS TOP HIT SELECTION-,2587,3,6967171854264731649,48,0.557,0.466,11,-5.346,1,0.0259,0.707,0,0.342,0.552,98.031,audio_features,spotify:track:4nSybn5bFsnCR1qWqB8gRx,https://api.spotify.com/v1/tracks/4nSybn5bFsnCR1qWqB8gRx,https://api.spotify.com/v1/audio-analysis/4nSybn5bFsnCR1qWqB8gRx,227672,4
18DaSMSqc40nV8cDhdLemj,My Girlfriend Is a Witch,October Country (Expanded Edition),1400000,1,5000000001295430118,60,0.537,0.813,7,-5.546,1,0.0291,0.0227,0.00598,0.0961,0.643,94.728,audio_features,spotify:track:18DaSMSqc40nV8cDhdLemj,https://api.spotify.com/v1/tracks/18DaSMSqc40nV8cDhdLemj,https://api.spotify.com/v1/audio-analysis/18DaSMSqc40nV8cDhdLemj,126840,4
4fZOZvwTtf6A2DluDuRB0T,1312,1312,6805,2,6914711047345539074,44,0.302,0.966,2,-4.187,1,0.0651,0.000212,1.98e-05,0.547,0.383,136.592,audio_features,spotify:track:4fZOZvwTtf6A2DluDuRB0T,https://api.spotify.com/v1/tracks/4fZOZvwTtf6A2DluDuRB0T,https://api.spotify.com/v1/audio-analysis/4fZOZvwTtf6A2DluDuRB0T,138210,4
7aZusA4cWXz3Wv9e9uhavz,Quer Voar,Quer Voar,43700,2,6997866514640571142,85,0.806,0.595,8,-6.166,0,0.246,0.138,0,0.0882,0.677,82.492,audio_features,spotify:track:7aZusA4cWXz3Wv9e9uhavz,https://api.spotify.com/v1/tracks/7aZusA4cWXz3Wv9e9uhavz,https://api.spotify.com/v1/audio-analysis/7aZusA4cWXz3Wv9e9uhavz,187636,4
6aDsgHPZsMztSbZernzlF8,Someday,Human - Deluxe,478800,3,7000739670405416962,80,0.576,0.679,0,-7.237,1,0.034,0.0311,0,0.323,0.213,121.005,audio_features,spotify:track:6aDsgHPZsMztSbZernzlF8,https://api.spotify.com/v1/tracks/6aDsgHPZsMztSbZernzlF8,https://api.spotify.com/v1/audio-analysis/6aDsgHPZsMztSbZernzlF8,187889,4
